HOTELNAAM_2014,NHC_2014,KAM_2014,BED_2014,STRAAT_2014,HUISID_2014,POSTCODE_2014,BRTK10,unesco,Soort_hotel_hostel/ jeugdherberg
IBIS STYLES AMSTERDAM AMSTEL,3,45,82,STADHOUDERSKADE,131,1074AW,K24a,,hotel
AMBASSADE HOTEL,4,59,117,HERENGRACHT,341,1016AZ,A02c,K,hotel
ABBA HOTEL,1,36,76,OVERTOOM,118-120,1054HM,E20b,,hotel
BARBACAN HOTEL,2,22,36,PLANTAGE MUIDERGRACHT,89,1018TN,A08c,B,hotel
BEURSSTRAAT HOTEL,1,49,105,BEURSSTRAAT,7-9,1012JT,A00b,B,hotel
"QUENTIN-ENGELAND HOTEL,THE",0,31,65,ROEMER VISSCHERSTRAAT,30,1054EZ,E22a,,hotel
APOLLOFIRST A HAMPSHIRE CLASSIC HOTEL,4,37,74,APOLLOLAAN,123-125,1077AP,K49d,,hotel
AALBORG HOTEL,3,36,84,SARPHATIPARK,106-108,1073EC,K25b,,hotel
ALLURE HOTEL,3,18,36,SARPHATISTRAAT,117,1018GB,A08b,B,hotel
"GOLDEN REGAL HOTEL,THE",2,13,27,KORTE VAN EEGHENSTRAAT,8,1071ER,K47c,,hotel
"CONVENT HOTEL AMSTERDAM, THE",4,148,296,NIEUWEZIJDS VOORBURGWAL,67,1012RE,A01e,B,hotel
FLORIS FRANCE HOTEL,3,55,123,OUDEZIJDS KOLK,11,1012AL,A00a,B,hotel
MARIANNE HOTEL,3,12,19,NICOLAAS MAESSTRAAT,107,1071PV,K47f,,hotel
CENTRE HOTEL,0,17,72,NICOLAAS ANSLIJNSTRAAT,87,1068WS,F81c,,hotel
JUPITER HOTEL,3,20,43,TWEEDE HELMERSSTRAAT,14,1054CJ,E20a,,hotel
KING HOTEL,2,26,48,LEIDSEKADE,85-86,1017PN,A07b,B,hotel
GRAND HOTEL AMRÂTH AMSTERDAM,5,165,385,PRINS HENDRIKKADE,108,1011AK,A04b,B,hotel
REMBRANDT SQUARE HOTEL,1,22,44,REMBRANDTPLEIN,24,1016BJ,A02c,K,hotel
BLUE TOWER,4,188,421,LEEUWENDALERSWEG,21,1055JE,E37c,,hotel
STAYOKAY ZEEBURG,0,92,478,TIMORPLEIN,21,1094CC,M31a,,hostel/ jeugdherberg
BORGMANN VILLA HOTEL,3,15,31,KONINGSLAAN,48,1075AE,K46c,,hotel
IBIS AMSTERDAM CITY WEST,3,180,380,TRANSFORMATORWEG,36,1014AK,B11g,,hotel
KAP HOTEL,2,13,27,DEN TEXSTRAAT,5B,1017XW,A07f,B,hotel
The Poet Hotel,2,64,128,JAN LUIJKENSTRAAT,40-44,1071CR,K47b,,hotel
CORNER HOUSE HOTEL,0,19,31,NIEUWEZIJDS VOORBURGWAL,121,1012RH,A01e,B,hotel
"TOWNHOUSE HOTEL, THE",0,10,20,PRINSENGRACHT,816,1017JL,A07g,K,hotel
TRIANON HOTEL VOF,2,42,91,JAN WILLEM BROUWERSSTR,3-7,1071LH,K47c,,hotel
VAN BONGA HOTEL-PENSION,2,17,34,HOLBEINSTRAAT,1,1077VB,K49f,,hotel
GALERIJ HOTEL,0,19,40,RAADHUISSTRAAT,43,1016DD,A02c,K,hotel
ACCA INTERNATIONAL HOTEL,0,45,80,VAN DE VELDESTRAAT,3A,1071CW,K47b,,hotel
IRISH PUB DURTY NELLY'S INN,0,10,66,WARMOESSTRAAT,115-117,1012JA,A00b,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
CENTRAAL HOSTEL,0,14,51,PLANTAGE KERKLAAN,19,1018SZ,A08c,B,hostel/ jeugdherberg
BILDERBERG HOTEL JAN LUYKEN,4,62,113,JAN LUIJKENSTRAAT,58,1071CS,K47b,,hotel
M-HOTEL MUSEUMPLEIN,3,17,34,FRANS VAN MIERISSTRAAT,34,1071RT,K47a,,hotel
HEMP HOTEL/EETCAFE AMSTERDAM,1,5,9,FREDERIKSPLEIN,15,1017XK,A07g,B,hotel
REMBRANDTPLEIN HOTEL,0,20,44,GROENBURGWAL,27,1011HR,A04h,B,hotel
KEIZERSHOF HOTEL,1,5,9,KEIZERSGRACHT,618,1017ER,A03c,K,hotel
REMBRANDT HOTEL,2,17,33,PLANTAGE MIDDENLAAN,17,1018DA,A08c,B,hotel
EAZIRES LUXER HOTEL,3,47,130,WARMOESSTRAAT,11,1012HT,A00a,B,hotel
"WITTE TULP HOTEL,DE",0,14,80,WARMOESSTRAAT,87,1012HZ,A00b,B,hotel
AMSTELZICHT HOTEL,3,12,24,AMSTEL,104,1017AD,A03e,B,hotel
ITC HOTEL,2,22,32,PRINSENGRACHT,1051,1017JE,A03d,K,hotel
HEEMSKERK HOTEL,4,4,8,JAN WILLEM BROUWERSSTR,25,1071LH,K47c,,hotel
MAX IN MOKUM HOTEL,2,15,55,HEMONYSTRAAT,7,1074BK,K24a,,hotel
"PORT VAN CLEVE,DIE",4,122,263,NIEUWEZIJDS VOORBURGWAL,176-180,1012SJ,A01d,B,hotel
"OUDE TAVEERNE,DE, Hotel-Restaurant",4,14,32,DURGERDAMMERDIJK,73,1026CB,N73d,,hotel
"WESTERTOREN HOTEL,DE",1,8,18,RAADHUISSTRAAT,35,1016DC,A02c,K,hotel
NH MUSICA,4,213,426,VAN LEIJENBERGHLAAN,221,1082GG,K91c,,hotel
HOKSBERGEN HOTEL,2,19,48,SINGEL,301,1012WH,A01f,K,hotel
SYMPHONY HOTEL VIVALDI,2,48,93,STADHOUDERSKADE,76,1072AE,K24c,,hotel
"STERN, HOTEL DE",1,6,19,UTRECHTSESTRAAT,18,1017VN,A03e,K,hotel
AMSTEL BOTEL,3,170,349,NDSM PIER3-4 TEGENOVER C.S.,,1033RG,N71d,,hotel
SANDER HOTEL,3,20,47,JACOB OBRECHTSTRAAT,69,1071KJ,K47f,,hotel
SEASONS HOTEL,3,44,101,STADHOUDERSKADE,135,1074AZ,K24a,,hotel
VINCENT VAN GOGH HOTEL,0,13,22,VAN DE VELDESTRAAT,5,1071CW,K47b,,hotel
BOUTIQUE VIEW HOTEL,2,14,28,LEIDSEKADE,77,1017PM,A07b,B,hotel
WATERFRONT HOTEL,2,10,24,SINGEL,458,1017AW,A01i,K,hotel
"CONCERT HOTEL, THE",3,26,52,DE LAIRESSESTRAAT,11,1071NR,K47f,,hotel
"LEYDSCHE HOF HOTEL,DE",1,5,10,LEIDSEGRACHT,14,1016CK,A02d,K,hotel
PAX HOTEL,1,10,21,RAADHUISSTRAAT,37B,1016DC,A02c,K,hotel
SHARM HOTEL,1,11,21,RAADHUISSTRAAT,33,1016DC,A02c,K,hotel
"COLLEGE HOTEL, THE",4,40,80,ROELOF HARTSTRAAT,1,1071VE,K50a,,hotel
SYMPHONY HOTEL PAGANINI,0,47,95,STADHOUDERSKADE,68,1072AD,K24c,,hotel
SEASON STAR HOTEL,0,29,56,MARTELAARSGRACHT,18,1012TR,A01b,B,hotel
CONTINENTAL HOTEL,1,32,90,DAMRAK,40-41,1012LK,A01e,B,hotel
PENSION DE BOER-VAN ESSEN,0,6,8,JOHANNES VERHULSTSTRAAT,165,1075GX,K46a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
MOZART HOTEL,3,47,86,PRINSENGRACHT,518-520,1017KJ,A07c,K,hotel
TOURIST-INN HOTEL,1,37,125,SPUISTRAAT  + SINGLE 69,52,1012TV,A01d,K,hotel
EDEN AMSTERDAM MANOR HOTEL,4,125,250,LINNAEUSSTRAAT,89,1093EK,M29b,,hotel
MÖVENPICK HOTEL AMSTERDAM CITY CENTRE,4,408,816,PIET HEINKADE,11,1019BR,M33a,,hotel
BELLEVUE HOTEL,3,75,140,MARTELAARSGRACHT,10,1012TP,A01b,B,hotel
FUSION SUITES,3,4,8,ROEMER VISSCHERSTRAAT,40,1054EZ,E22a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
WASHINGTON HOTEL,2,22,52,FRANS VAN MIERISSTRAAT,10,1071RS,K47a,,hotel
AVENUE HOTEL AMSTERDAM,3,80,165,NIEUWEZIJDS VOORBURGWAL,33,1012RD,A01e,B,hotel
QBIC WTC AMSTERDAM,0,55,110,STRAWINSKYLAAN,241,1077XX,K59c,,hotel
AALDERS HOTEL,3,28,61,JAN LUIJKENSTRAAT,13-15,1071CJ,K47b,,hotel
"BEMA, HOTEL HUIZE",1,8,18,CONCERTGEBOUWPLEIN,19B,1071LM,K47f,,hotel
"PARIS HOTEL,DE",3,38,86,MARNIXSTRAAT,372-374,1016XX,A06j,B,hotel
CASA 400 AMSTERDAM HOTEL,3,519,1021,1E RINGDIJKSTRAAT,4,1097BC,M55b,,hotel
NICOLAAS WITSEN HOTEL,3,28,56,NICOLAAS WITSENSTRAAT,4-8,1017ZH,A07f,B,hotel
ALEXANDER HOTEL,3,34,73,VONDELSTRAAT,44-46,1054GE,E22a,,hotel
BANKS MANSION,4,51,102,HERENGRACHT,519-525,1017BV,A03b,K,hotel
INNTEL HOTELS AMSTERDAM CENTRE,4,239,464,NIEUWEZIJDS KOLK,19,1012PV,A01e,B,hotel
DELPHI HOTEL,4,52,96,APOLLOLAAN,103-105,1077AN,K49d,,hotel
PRINS HENDRIK HOTEL,3,45,124,PRINS HENDRIKKADE,52-58,1012AC,A00a,B,hotel
QUENTIN ARRIVE HOTEL,1,30,65,HAARLEMMERSTRAAT,65-67,1013EL,A05b,K,hotel
WIJNNOBEL HOTEL,1,12,27,VOSSIUSSTRAAT,9,1071AB,K47b,,hotel
AADAM WILHELMINA HOTEL,2,19,40,KONINGINNEWEG,169,1075CN,K46b,,hotel
DORIA HOTEL,3,38,71,DAMSTRAAT,3,1012JL,A00b,B,hotel
ALFA AMSTERDAM HOTEL,1,21,44,MARTELAARSGRACHT,14,1012TR,A01b,B,hotel
HORTUS HOTEL,0,20,42,PLANTAGE PARKLAAN,8,1018SR,A08c,B,hotel
IL GIARDINO HOTEL,2,14,36,PRINS HENDRIKKADE,97-98,1011AG,A04d,B,hotel
"BULLDOG HOTEL,THE",0,39,245,OUDEZIJDS VOORBURGWAL,220,1012GJ,A00b,B,hotel
DI-ANN HOTEL,2,48,110,RAADHUISSTRAAT,27,1016DC,A02c,K,hotel
NADIA HOTEL (INCL. CLEMENS HOTEL),2,52,72,RAADHUISSTRAAT,49-53,1016DD,A02c,K,hotel
PRINCESS HOTEL,1,34,71,OVERTOOM,80,1054HL,E20a,,hotel
ALFA PLANTAGE HOTEL,3,21,42,PLANTAGE MIDDENLAAN,26,1018DE,A08c,B,hotel
BRIAN HOTEL,0,14,35,SINGEL,69,1012VE,A01d,K,hotel
WESTCORD AMSTERDAM ART 4-STERREN,4,84,124,SPAARNDAMMERDIJK,302,1013ZX,E13f,,hotel
LLOYD HOTEL & CULTURELE AMBASSADE,0,117,234,OOSTELIJKE HANDELSKADE,34,1019BN,M33b,,hotel
MONOPOLE HOTEL & APARTMENTS,2,12,26,AMSTEL,60,1017AC,A03e,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
MUSEUMZICHT HOTEL,1,14,26,JAN LUIJKENSTRAAT,22,1071CN,K47b,,hotel
HERMITAGE AMSTERDAM HOTEL,2,21,49,NIEUWE KEIZERSGRACHT,16,1018DR,A08a,K,hotel
SHELTER CITY JEUGDHOTEL,0,25,178,BARNDESTEEG,21,1012BV,A00c,B,hostel/ jeugdherberg
SAVOY HOTEL AMSTERDAM,4,44,75,FERDINAND BOLSTRAAT,194,1072LW,K25d,,hotel
BASTION HOTEL AMSTERDAM CENTRUM/Z.W.,3,90,180,NACHTWACHTLAAN,11,1058EV,F87b,,hotel
APPLE INN HOTEL,2,28,68,KONINGINNEWEG,93,1075CJ,K46a,,hotel
ROOMS & CO,3,4,8,HEMONYSTRAAT,1A,1074BK,K24a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
OLD QUARTER HOTEL,2,41,91,WARMOESSTRAAT,22,1012JD,A00a,B,hotel
ADOLESCE HOTEL,2,10,21,NIEUWE KEIZERSGRACHT,26,1018DS,A08a,K,hotel
SAILING HOME HOTELSCHIP,3,13,26,OOSTERDOK,T.O. NEMO,1011VC,A04g,B,hotel
SCHRODER HOTEL,1,11,23,HAARLEMMERDIJK,48B,1013JE,A05c,B,hotel
"LANTAERNE LEIDSEKADE,HOTEL DE",0,28,69,LEIDSEGRACHT,111-117,1017ND,A07b,B,hotel
SYNOPSIS HOTEL,3,3,6,NIEUWE KEIZERSGRACHT,22A,1018DS,A08a,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
ASPEN HOTEL,1,8,17,RAADHUISSTRAAT,31,1016DC,A02c,K,hotel
OLD HARBOUR HOTEL,1,8,15,WARMOESSTRAAT,23,1012HT,A00a,B,hotel
"MUNCK HOTEL,DE",2,13,33,ACHTERGRACHT,3,1017WL,A07g,B,hotel
MERCURE AMSTERDAM AIRPORT,4,152,303,OUDE HAAGSEWEG,20,1066BW,F88c,,hotel
NIEUW SLOTANIA HOTEL,0,70,172,SLOTERMEERLAAN,133,1063JN,F77c,,hotel
BEST WESTERN BLUE SQUARE HOTEL,4,175,370,SLOTERMEERLAAN,80,1064HD,F77a,,hotel
SANDTON HOTEL DE FILOSOOF,3,45,84,ANNA VAN DEN VONDELSTR,2-6,1054GZ,E22b,,hotel
PARK PLAZA VONDELPARK,3,138,277,KONINGINNEWEG,34-36,1075CZ,K46c,,hotel
MEMPHIS HOTEL,4,78,155,DE LAIRESSESTRAAT,87,1071NX,K47e,,hotel
RADISSON BLU HOTEL,4,252,503,RUSLAND,17,1012CK,A00e,B,hotel
RENAISSANCE AMSTERDAM HOTEL,5,402,804,KATTENGAT,1,1012SZ,A01b,B,hotel
REMBRANDT CLASSIC HOTEL,3,111,242,HERENGRACHT,255,1016BJ,A02c,K,hotel
BILDERBERG GARDEN HOTEL,5,124,248,DIJSSELHOFPLANTSOEN,7,1077BJ,K49c,,hotel
THORBECKE HOTEL,0,14,33,THORBECKEPLEIN,3 + 13,1017CS,A03c,K,hotel
CROWNE PLAZA AMSTERDAM CITY CENTRE,4,270,487,NIEUWEZIJDS VOORBURGWAL,5,1012RC,A01c,B,hotel
SOFITEL LEGEND THE GRAND AMSTERDAM,5,177,355,OUDEZIJDS VOORBURGWAL,197,1012EX,A00e,B,hotel
CENTRAL PARK HOTEL,3,42,88,WALDECK PYRMONTLAAN,9,1075BT,K46c,,hotel
CHIC AND BASIC,2,25,49,HERENGRACHT,13,1015BA,A02a,K,hotel
UTOPIA,0,10,22,NIEUWEZIJDS VOORBURGWAL,132,1012SH,A01d,B,hotel
BELFORT HOTEL,3,42,96,SURINAMEPLEIN,53,1058GN,K44a,,hotel
JANSON HOTEL,2,12,26,FRANS VAN MIERISSTRAAT,69A,1071RL,K47a,,hotel
BEN HOTEL,1,26,52,BEURSSTRAAT,21,1012JT,A00b,B,hotel
"KWINT,B&B",0,4,7,KOMETENSINGEL,187,1033BE,N65b,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
ANCO HOTEL,1,14,27,OUDEZIJDS VOORBURGWAL,55,1012EJ,A00c,B,hotel
BELGA HOTEL,2,11,30,HARTENSTRAAT,8,1016CB,A02c,K,hotel
ORLANDO HOTEL,3,7,14,PRINSENGRACHT,1099,1017JH,A03d,K,hotel
HART VAN AMSTERDAM HOTEL,0,24,132,OUDEZIJDS ACHTERBURGWAL,120,1012DT,A00c,B,hotel
HOTEL JL. NO.76,4,39,78,JAN LUIJKENSTRAAT,76,1071CT,K47b,,hotel
"REMISE,LA",0,3,6,NOORDERSTRAAT,74,1071TW,K50a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
"M.DE VRIES, B&B",0,3,5,OUDEZIJDS ACHTERBURGWAL,134,1012DV,A00c,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
AJAX HOTEL D.R.,2,21,40,ROKIN,104,1012KZ,A01g,B,hotel
IJ-BOULEVARD HOTEL,0,35,85,PRINS HENDRIKKADE,144-145,1011AT,A04b,B,hotel
ZANDBERGEN HOTEL BV,3,21,37,WILLEMSPARKWEG,205,1071HB,K47d,,hotel
CITY HOTEL AMSTERDAM,2,49,100,PRINS HENDRIKKADE,130,1011AP,A04b,B,hotel
BICYCLE HOTEL,1,15,30,VAN OSTADESTRAAT,123,1072SV,K25c,,hotel
"INTERNATIONAAL DELPORT BV, HOTEL",1,8,18,WARMOESSTRAAT,1-3,1012HT,A00a,B,hotel
COSMOS AMSTERDAM HOTEL,0,20,130,NIEUWE NIEUWSTRAAT,17,1012NG,A01e,B,hotel
MAURO MANSION,0,9,18,GELDERSEKADE,16,1012BH,A00a,B,hotel
AMSTERDAM OOSTERPARK INN,0,6,14,OOSTERPARK,71,1092AS,M28c,,hostel/ jeugdherberg
ART HOTEL DULAC,3,21,42,HAARLEMMERSTRAAT,120,1013EX,A05b,K,hotel
BASTION HOTEL AMSTERDAM AMSTEL,3,192,384,VERL VAN MARWIJK KOOYSTRAAT,30,1096BX,M58d,,hotel
LA FESTA BED & BREAKFAST,0,4,8,HAZENSTRAAT,64,1016SR,A06g,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
COCOMAMA,0,12,40,WESTEINDE,18,1017ZP,A07h,B,hostel/ jeugdherberg
CONSERVATORIUM HOTEL AMSTERDAM,5,129,258,VAN BAERLESTRAAT,27,1071AN,K47b,,hotel
CROWNE PLAZA AMSTERDAM - SOUTH,4,207,414,GEORGE GERSHWINLAAN,101,1082MT,K90h,,hotel
DIMILLION SUITE HOTEL,0,25,85,OUDESCHANS,73-77,1011KW,A04f,B,hotel
EASYHOTEL AMSTERDAM,2,80,160,VAN OSTADESTRAAT,97,1072ST,K25c,,hotel
HOLIDAY INN EXPRESS AMSTERDAM SLOTERDIJK STATION,3,254,508,ZAVENTEMWEG,3,1043EH,B11f,,hotel
HOTEL ATLANTIS AMSTERDAM,2,45,94,CEINTUURBAAN,215-217,1074CV,K24a,,hotel
HOTEL PLANT,0,5,10,PRINS HENDRIKKADE,15,1012TL,A01b,B,hotel
IL FIORE BED & BREAKFAST,0,3,6,LINDENGRACHT,25-1,1015KB,A06b,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
LE TISSERAND CHAMBRES D'HOTES,0,5,10,2E WETERINGDWAARSSTRAAT,5,1017SR,A07e,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
THORBECKE APPARTMENTS,0,3,9,THORBECKEPLEIN,13,1017CS,A03c,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
HOSTELLE,0,15,84,FRANKEMAHEERD,2,1102AN,T93e,,hostel/ jeugdherberg
HOLIDAY INN EXPRESS AMSTERDAM SOUTH,3,80,128,ZWAANSVLIET,20,1081AP,K90d,,hotel
AMIGO BUDGET HOSTEL,0,24,83,LINNEAUSSTRAAT,199,1093EP,M29c,,hostel/ jeugdherberg
RAMADA APOLLO AMSTERDAM CENTRE,4,446,892,STAALMEESTERSLAAN,410,1057PH,F86c,,hotel
SKOTEL,0,20,40,DE KLENCKE,109,1083HH,K91a,,hotel
MEININGER AMSTERDAM CITY WEST,3,219,749,ORLYPLEIN,1-67,1043DR,B11f,,hotel
HOTEL MOSAIC,3,37,114,1E C HUYGENSSTRAAT,16-A,1054BR,E20b,,hotel
AMADI PARK HOTEL,4,33,60,1E C HUYGENSSTRAAT,26-G,1054BR,E20b,,hotel
SIR ALBERT HOTEL,4,90,180,ALBERT CUYPSTRAAT,"2,",1072CT,K24d,,hotel
AMSTERDAM IDENTITY APARTMENTS,3,55,88,BARAJASWEG,"10,",1043CP,B11f,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
LA CORTE SCONTA,0,3,6,BRIGANTIJNKADE,"20,",1086VB,M35a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
B&B BROUWERSGR8,0,3,6,BROUWERSGRACHT,8-II,1013GW,A05b,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
BASTION HOTEL AMSTERDAM CENTRUM,3,90,180,HENDRIKJE STOFFELSSTRAAT,60,1058GC,F87b,,hotel
SUNHEAD OF 1617,0,3,6,HERENGRACHT,152,1016BN,A02b,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
HOTEL AMBASSADE,4,59,118,HERENGRACHT,335-353,1016AX,A02c,K,hotel
KEIZERSGRACHT APARTMENTS,0,4,8,KEIZERSGRACHT,760,1017EZ,A03d,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
GOLDEN TULIP AMSTERDAM WEST,4,248,614,MOLENWERF,1,1014AG,E36a,,hotel
HOTEL V NESPLEIN,4,43,86,NES,49,1012KD,A00d,B,hotel
PARCK BED & BREAKFAST,0,3,8,OVERTOOM,251,1054HW,E22b,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
HOTEL IRON HORSE,3,37,71,OVERTOOM,33,1054HB,E22a,,hotel
HOTEL ESPRESSO CITY CENTRE,3,68,152,OVERTOOM,57,1054HC,E22a,,hotel
ANDAZ AMSTERDAM PRINSENGRACHT HOTEL,5,122,244,PRINSENGRACHT,587,1016HT,A02d,K,hotel
CENTRAL STATION HOSTEL,0,6,34,STEENHOUWERSSTEEG,3,1012HJ,A00d,B,hostel/ jeugdherberg
HOTEL VOSSIUS VONDELPARK,3,39,80,VOSSIUSSTRAAT,8,1071AB,K47b,,hotel
THE CANAL-HOTEL (AMSTEL HOSPITALITY GROUP),0,16,32,WETERINGSCHANS,253,1017XJ,A07h,B,hotel
MUSEUM SUITES,0,4,8,WILLEMSPARKWEG,113,1071GV,K47d,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
FLETCHER HOTEL AMSTERDAM,4,120,240,SCHEPENBERGWEG,50,1105AT,T92e,,hotel
Grand Hotel Downtown,4,46,92,1e C Huygensstr,10A,1054BR,E20b,,hotel
Hotel Room Mate Aitana,4,284,568,IJDok,6,1013MM,A05a,R,hotel
The Student Hotel Amsterdam,3,98,196,Jan van Galenstraat,335,1061AZ,E39b,,hotel
Faralda NDSM Kraanhotel Amsterdam,0,3,6,NDSM-plein,78,1033WB,N71d,,hotel
Art'Otel Amsterdam,0,107,214,Prins Hendrikkade,33,1012TM,A01b,B,hotel
Prinsenhuis,0,3,6,Prinsengracht,967,1017KL,A03c,K,hotel
Isis Hotel,2,22,46,Spreeuwenpark,17,1021GS,N61b,,hotel
Art Bed Breakfast,0,3,6,Weteringschans,123,1017SC,A07f,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
Hotel V Lofts,3,6,12,Weteringschans,138,1018XV,A08a,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
B&B Apostrophe,0,3,6,Geerdinkhof,258,1103RA,T94j,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
Hampton by Hilton Amsterdam Arena Boulevard,3,260,520,Hoekenrode,1,1102BR,T93e,,hotel
Reijgersbroeck Bed & Breakfast,0,4,8,Provincialeweg,30,1108AB,T95b,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
Brooklyn hotel,4,88,160,NDSM - Plein,28,1033WB,N71d,,hotel
totaal,421 hotels,26287,56718,,,,,,
